model,result,dimension,bucket,samples,C-Acc,EtF1,tIoU
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,dispersion,≥60%,139,28.776978417266186,19.204636290967226,39.450035031143706
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,duration,120–300s,157,42.038216560509554,21.249115357395613,38.07029888363089
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,duration,>300s,65,24.615384615384617,4.153846153846154,12.852691449690102
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,duration,≤120s,98,27.551020408163264,16.75170068027211,45.52479680859048
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,evidence_density,10–30%,149,34.22818791946309,18.83296047725578,35.63745147938413
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,evidence_density,<10%,78,39.743589743589745,9.650997150997151,18.26142361541136
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,evidence_density,≥30%,93,29.032258064516128,18.160095579450417,48.81204993302636
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,median_span,5–15s,132,25.757575757575758,11.44781144781145,31.140148034027927
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,median_span,>15s,94,53.191489361702125,29.645390070921984,47.17212459418622
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,median_span,≤5s,94,26.595744680851062,10.106382978723405,29.034177700601923
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,span_count,2–3,199,49.74874371859296,25.265214963707425,41.37064659695314
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,span_count,4–5,73,13.698630136986301,3.0136986301369855,25.83976045601978
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,span_count,≥6,48,0.0,0.0,24.05897437747198
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,dispersion,25–60%,137,32.11678832116788,18.552311435523112,43.90037040954294
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,dispersion,<25%,44,68.18181818181819,20.833333333333332,34.5567742683709
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,dispersion,≥60%,139,30.215827338129497,17.665867306155075,40.03981563376679
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,duration,120–300s,157,44.5859872611465,26.32696390658174,47.636032634432105
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,duration,>300s,65,26.153846153846153,2.307692307692307,17.479105535858878
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,duration,≤120s,98,29.591836734693878,16.63832199546485,45.76922656706751
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,evidence_density,10–30%,149,36.91275167785235,22.129008202833706,43.36021852440373
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,evidence_density,<10%,78,43.58974358974359,9.829059829059828,18.980470554342617
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,evidence_density,≥30%,93,29.032258064516128,19.892473118279568,55.47563358746671
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,median_span,5–15s,132,28.78787878787879,13.194444444444443,38.995727763425165
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,median_span,>15s,94,55.319148936170215,35.0177304964539,56.47059589041751
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,median_span,≤5s,94,27.659574468085108,9.367612293144207,28.135224558914
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,span_count,2–3,199,54.2713567839196,28.83863763260748,46.588952981044656
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,span_count,4–5,73,10.95890410958904,2.3972602739726026,33.71087900833785
MCG-NJU/TimeLens2-4B,embedding-window-local-64f,span_count,≥6,48,0.0,0.0,28.50598700359862
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,dispersion,25–60%,137,22.62773722627737,17.218167072181668,48.3698812308934
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,dispersion,<25%,44,18.181818181818183,10.227272727272727,45.06486197437017
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,dispersion,≥60%,139,17.985611510791365,13.08952837729816,45.67210537164577
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,duration,120–300s,157,19.10828025477707,15.074309978768577,53.6163901668635
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,duration,>300s,65,4.615384615384615,1.9316239316239314,25.90773306785561
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,duration,≤120s,98,31.632653061224488,21.797052154195015,49.55279996484958
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,evidence_density,10–30%,149,24.161073825503355,17.714392244593586,48.36883294565413
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,evidence_density,<10%,78,17.94871794871795,8.333333333333332,26.668967054802152
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,evidence_density,≥30%,93,15.053763440860216,14.396654719235363,60.976502827810876
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,median_span,5–15s,132,15.909090909090908,11.237373737373739,44.03817358714956
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,median_span,>15s,94,23.404255319148938,20.041371158392437,62.095817787512175
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,median_span,≤5s,94,22.340425531914892,13.416075650118204,35.19047358120807
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,span_count,2–3,199,28.64321608040201,21.35678391959799,51.1767415648634
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,span_count,4–5,73,8.219178082191782,4.497716894977168,42.02272872253555
MCG-NJU/TimeLens2-4B,uniform-one-shot-128f,span_count,≥6,48,2.0833333333333335,1.0416666666666667,35.54415695855279
